clip,bone,present,minBoneY,maxBoneY
SnakeHipHopDance,LeftLittleIntermediate,False,Infinity,-Infinity
SnakeHipHopDance,LeftLittleDistal,False,Infinity,-Infinity
SnakeHipHopDance,RightThumbProximal,False,Infinity,-Infinity
SnakeHipHopDance,RightThumbIntermediate,False,Infinity,-Infinity
SnakeHipHopDance,RightThumbDistal,False,Infinity,-Infinity
SnakeHipHopDance,RightIndexProximal,True,0.08793397,0.5941709
SnakeHipHopDance,RightIndexIntermediate,True,0.08388536,0.599001169
SnakeHipHopDance,RightIndexDistal,True,0.07723694,0.606957
SnakeHipHopDance,RightMiddleProximal,False,Infinity,-Infinity
SnakeHipHopDance,RightMiddleIntermediate,False,Infinity,-Infinity
SnakeHipHopDance,RightMiddleDistal,False,Infinity,-Infinity
SnakeHipHopDance,RightRingProximal,False,Infinity,-Infinity
SnakeHipHopDance,RightRingIntermediate,False,Infinity,-Infinity
SnakeHipHopDance,RightRingDistal,False,Infinity,-Infinity
SnakeHipHopDance,RightLittleProximal,False,Infinity,-Infinity
SnakeHipHopDance,RightLittleIntermediate,False,Infinity,-Infinity
SnakeHipHopDance,RightLittleDistal,False,Infinity,-Infinity
SnakeHipHopDance,UpperChest,True,0.25045985,0.373980284
TutHipHopDance,Hips,True,0.190886468,0.213536784
TutHipHopDance,LeftUpperLeg,True,0.164627314,0.18872346
TutHipHopDance,RightUpperLeg,True,0.166140541,0.1960403
TutHipHopDance,LeftLowerLeg,True,0.07178668,0.09966121
TutHipHopDance,RightLowerLeg,True,0.07354683,0.136214212
TutHipHopDance,LeftFoot,True,0.03364089,0.0567372777
TutHipHopDance,RightFoot,True,0.03533194,0.101066373
TutHipHopDance,Spine,True,0.235337168,0.257264256
TutHipHopDance,Chest,True,0.285856366,0.3082257
TutHipHopDance,Neck,True,0.4035898,0.432145059
TutHipHopDance,Head,True,0.429585665,0.461025357
TutHipHopDance,LeftShoulder,True,0.39584136,0.424139321
TutHipHopDance,RightShoulder,True,0.396424979,0.4231174
TutHipHopDance,LeftUpperArm,True,0.3794288,0.4110963
TutHipHopDance,RightUpperArm,True,0.379594624,0.416973829
TutHipHopDance,LeftLowerArm,True,0.301698148,0.434454143
TutHipHopDance,RightLowerArm,True,0.307719648,0.5024317
TutHipHopDance,LeftHand,True,0.233946353,0.457884967
TutHipHopDance,RightHand,True,0.229748785,0.513976455
TutHipHopDance,LeftToes,True,-0.0207085963,0.0452806242
TutHipHopDance,RightToes,True,-0.0127661405,0.117043763
TutHipHopDance,LeftEye,False,Infinity,-Infinity
TutHipHopDance,RightEye,False,Infinity,-Infinity
TutHipHopDance,Jaw,False,Infinity,-Infinity
TutHipHopDance,LeftThumbProximal,False,Infinity,-Infinity
TutHipHopDance,LeftThumbIntermediate,False,Infinity,-Infinity
TutHipHopDance,LeftThumbDistal,False,Infinity,-Infinity
TutHipHopDance,LeftIndexProximal,True,0.179449,0.498056918
TutHipHopDance,LeftIndexIntermediate,True,0.174138129,0.5027035
TutHipHopDance,LeftIndexDistal,True,0.166331008,0.5097341
TutHipHopDance,LeftMiddleProximal,False,Infinity,-Infinity
TutHipHopDance,LeftMiddleIntermediate,False,Infinity,-Infinity
TutHipHopDance,LeftMiddleDistal,False,Infinity,-Infinity
TutHipHopDance,LeftRingProximal,False,Infinity,-Infinity
TutHipHopDance,LeftRingIntermediate,False,Infinity,-Infinity
TutHipHopDance,LeftRingDistal,False,Infinity,-Infinity
TutHipHopDance,LeftLittleProximal,False,Infinity,-Infinity
TutHipHopDance,LeftLittleIntermediate,False,Infinity,-Infinity
TutHipHopDance,LeftLittleDistal,False,Infinity,-Infinity
TutHipHopDance,RightThumbProximal,False,Infinity,-Infinity
TutHipHopDance,RightThumbIntermediate,False,Infinity,-Infinity
TutHipHopDance,RightThumbDistal,False,Infinity,-Infinity
TutHipHopDance,RightIndexProximal,True,0.172709286,0.5478192
TutHipHopDance,RightIndexIntermediate,True,0.167498529,0.5513296
TutHipHopDance,RightIndexDistal,True,0.158857569,0.5557437
TutHipHopDance,RightMiddleProximal,False,Infinity,-Infinity
TutHipHopDance,RightMiddleIntermediate,False,Infinity,-Infinity
TutHipHopDance,RightMiddleDistal,False,Infinity,-Infinity
TutHipHopDance,RightRingProximal,False,Infinity,-Infinity
TutHipHopDance,RightRingIntermediate,False,Infinity,-Infinity
TutHipHopDance,RightRingDistal,False,Infinity,-Infinity
TutHipHopDance,RightLittleProximal,False,Infinity,-Infinity
TutHipHopDance,RightLittleIntermediate,False,Infinity,-Infinity
TutHipHopDance,RightLittleDistal,False,Infinity,-Infinity
TutHipHopDance,UpperChest,True,0.3416414,0.366449118
